flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierCode,duration_formatted,price,hasDiscount,fareType,availableSeats,flightKey
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-29T18:00:00.000,2023-05-29T19:55:00.000,,02:55,42.15,False,ADT,2,FR~2941~ ~~CRL~05/29/2023 18:00~FAO~05/29/2023 19:55~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-29T16:55:00.000,2023-05-29T19:20:00.000,,02:25,77.09,False,ADT,-1,FR~3534~ ~~CRL~05/29/2023 16:55~ALC~05/29/2023 19:20~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-29T19:20:00.000,2023-05-29T22:05:00.000,,02:45,42.62,True,ADT,2,FR~1916~ ~~CRL~05/29/2023 19:20~AGP~05/29/2023 22:05~~
FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-05-30T07:20:00.000,2023-05-30T11:45:00.000,,03:25,100.04,False,ADT,3,FR~7986~ ~~CRL~05/30/2023 07:20~HER~05/30/2023 11:45~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-30T17:20:00.000,2023-05-30T19:45:00.000,,02:25,32.18,False,ADT,-1,FR~7737~ ~~CRL~05/30/2023 17:20~BDS~05/30/2023 19:45~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-30T19:20:00.000,2023-05-30T21:35:00.000,Malta Air,02:15,40.91,False,ADT,2,FR~1302~ ~~CRL~05/30/2023 19:20~NAP~05/30/2023 21:35~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-30T15:35:00.000,2023-05-30T18:05:00.000,,02:30,67.99,False,ADT,-1,FR~6269~ ~~CRL~05/30/2023 15:35~PMO~05/30/2023 18:05~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-30T13:45:00.000,2023-05-30T15:40:00.000,,02:55,36.89,True,ADT,-1,FR~2941~ ~~CRL~05/30/2023 13:45~FAO~05/30/2023 15:40~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-30T06:30:00.000,2023-05-30T08:55:00.000,,02:25,32.03,False,ADT,5,FR~3534~ ~~CRL~05/30/2023 06:30~ALC~05/30/2023 08:55~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-30T09:25:00.000,2023-05-30T11:50:00.000,,02:25,63.31,False,ADT,5,FR~6456~ ~~CRL~05/30/2023 09:25~IBZ~05/30/2023 11:50~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-30T16:00:00.000,2023-05-30T18:45:00.000,,02:45,37.15,False,ADT,-1,FR~1916~ ~~CRL~05/30/2023 16:00~AGP~05/30/2023 18:45~~
